T,o,h,l,c,v
1768150799999,3116.6,3146,3114.8,3128,21950.8964
1768154399999,3128,3132.7,3116.7,3125.6,10752.0731
1768157999999,3125.7,3132.8,3119,3128,7497.0458
1768161599999,3128,3131,3118,3124,14782.0368
1768165199999,3124,3124.1,3099.9,3113.7,19638.9624
1768168799999,3113.7,3124.8,3106.7,3120.1,14355.9364
1768172399999,3120.1,3120.1,3105.6,3108.5,8646.2081
1768175999999,3108.6,3124.6,3091,3122.5,29678.874
1768179599999,3122.6,3126.7,3096.7,3119.4,26047.5585
1768183199999,3119,3136.2,3113.2,3123.9,14887.6253
1768186799999,3123.8,3167,3121.8,3156.6,19898.2373
1768190399999,3157,3170.7,3150.2,3151.7,15515.5105
1768193999999,3151.6,3162.8,3148,3158.6,9678.9889
1768197599999,3158.6,3166.5,3155.1,3158.2,2785.7679
1768201199999,3158.1,3166.5,3151.9,3154.5,12447.5821
1768204799999,3154.4,3160.7,3133.1,3134.9,15320.3277
1768208399999,3134.9,3146.9,3101,3115.3,30699.0614
1768211999999,3115.3,3124,3110.7,3116,5640.6869
1768215599999,3116.3,3119.3,3104,3106,12584.4047
1768219199999,3106.1,3121,3106,3115.4,5117.1806
1768222799999,3114.9,3122.4,3112.8,3117.2,5040.2892
1768226399999,3117.3,3120,3105.4,3108.8,9459.62
1768229999999,3108.8,3116,3066.5,3104.8,48825.883
1768233599999,3104.9,3132.7,3092.8,3130.7,34108.4484
1768237199999,3129.4,3145.7,3121.1,3130,22994.6917
1768240799999,3130.1,3136.9,3082.8,3104.4,67571.5956
1768244399999,3104.3,3118.7,3095,3107.1,19305.4025
1768247999999,3107.1,3120.5,3094.7,3120.1,15291.2825
1768251599999,3120.1,3126.5,3098,3101.3,12525.0373
1768255199999,3101,3105.7,3083.2,3090.9,11378.9964
1768258799999,3090.8,3106.2,3090.8,3094.3,5443.4324
1768262399999,3094.2,3097.6,3087.2,3094,3237.0317
1768265999999,3093.9,3108.4,3092,3107.3,6929.5343
1768269599999,3107.3,3113,3090.5,3096.4,11706.4236
1768273199999,3096.4,3106.8,3096.4,3100,2996.3793
1768276799999,3100.1,3117.8,3100.1,3115.3,17079.8129
1768280399999,3115.4,3122.3,3111.5,3121.2,2559.9044
1768283999999,3121.1,3145,3120.7,3130.5,20233.296
1768287599999,3130.8,3137.1,3122.8,3133.3,18312.014
1768291199999,3133.6,3134.5,3121.1,3121.1,8759.8523
1768294799999,3121.1,3137.9,3121.1,3135.6,9846.721
1768298399999,3135.5,3148,3129.1,3138.5,39401.3146
1768301999999,3138.8,3141.3,3129.3,3134.3,9145.1593
1768305599999,3134.5,3138.6,3130.9,3134,4462.2578
1768309199999,3133.8,3137.5,3129.8,3134.9,1531.5475
1768312799999,3134.9,3161.1,3129.8,3142.1,25439.855
1768316399999,3142,3165,3130.6,3145.1,26374.7613
1768319999999,3145.2,3188.5,3133.3,3184.7,22181.6491
1768323599999,3184.9,3196,3171.6,3180.7,25055.1894
1768327199999,3180.7,3188,3172.6,3179.7,23340.3146
1768330799999,3179.7,3214.1,3177.5,3200.9,21645.5972
1768334399999,3200.9,3217.9,3190.7,3215.7,10015.0527
1768337999999,3215.8,3219.3,3190,3204.3,17951.6146
1768341599999,3204,3216.7,3201.7,3209.5,19905.2899
1768345199999,3209.5,3377,3209.5,3330.2,112395.5776
1768348799999,3330.4,3346.5,3313.5,3324.7,75680.9056
1768352399999,3324.7,3335.8,3315,3323.7,23138.2644
1768355999999,3323.7,3344.1,3320.5,3335.2,19553.6339
1768359599999,3335.3,3357.5,3319.9,3326.1,31267.599
1768363199999,3326.1,3351.7,3320,3351.3,17547.8875
1768366799999,3351.3,3363.5,3334.7,3337.9,18480.2782
1768370399999,3337.8,3338.7,3324.3,3329.4,36493.2031
1768373999999,3329.5,3334.5,3320.7,3333.4,11385.52
1768377599999,3333.5,3341.7,3326.6,3335,38590.6387
1768381199999,3334.9,3341.4,3326,3326,11394.5177
1768384799999,3325.9,3334.3,3323.7,3327.2,10597.1698
1768388399999,3327.2,3332.1,3303.7,3311.7,7818.6593
1768391999999,3311.7,3312.4,3282.1,3285.3,18759.9961
1768395599999,3285.2,3298.4,3280,3296,24359.6387
1768399199999,3296.1,3308.1,3289,3302.2,30708.5916
